start,end,duration_min,volume_blw,time_since_prev_min,time_to_next_min,pre60_mean_tds,drum_rise_ppm_per_min,pre60_mean_drum,post60_mean_drum,delta_removed_ppm
2025-11-17 10:01:00+05:30,2025-11-17 10:02:00+05:30,1,4.048217770000065,,490.0,25.58478499131147,0.6875674195512638,147.6575977325,176.9993095406667,-29.341711808166707
2025-11-17 18:11:00+05:30,2025-11-17 18:12:00+05:30,1,5.096801760000062,490.0,908.0,31.59362909457627,-1.5082823784850412,171.63282986293103,123.00128809616666,48.63154176676437
2025-11-18 09:19:00+05:30,2025-11-18 09:20:00+05:30,1,4.047851560000026,908.0,205.0,24.796537897868856,0.8516675441839401,142.09718208266668,180.69727274500002,-38.60009066233334
2025-11-18 12:44:00+05:30,2025-11-18 12:45:00+05:30,1,6.430419920000077,205.0,90.0,120.63380288286884,-0.10053955311614558,198.0462290445,202.60585962966667,-4.559630585166673
2025-11-18 14:14:00+05:30,2025-11-18 14:15:00+05:30,1,4.962280269999837,90.0,26.0,121.1476271585246,-0.6780794398599631,192.80470733633334,174.01149241083334,18.793214925499996
2025-11-18 14:40:00+05:30,2025-11-18 14:41:00+05:30,1,4.108154300000024,26.0,69.0,121.29947587311474,-0.36692172319060906,179.85134328183332,176.869962056,2.9813812258333314
2025-11-18 15:49:00+05:30,2025-11-18 15:50:00+05:30,1,4.113769530000127,69.0,1499.0,121.39469071721312,0.01699521512531184,177.23165206866668,172.87146555633336,4.360186512333314
2025-11-19 16:48:00+05:30,2025-11-19 16:49:00+05:30,1,4.537597660000074,1499.0,2664.0,119.88003039836067,-0.1760395046846361,191.87258555033333,177.68931045533336,14.18327509499997
2025-11-21 13:12:00+05:30,2025-11-21 13:13:00+05:30,1,4.37915038999995,2664.0,26.0,117.96290213147542,-0.6866604172745225,191.26972961450002,185.7988408405,5.470888774000031
2025-11-21 13:38:00+05:30,2025-11-21 13:39:00+05:30,1,5.29321288999995,26.0,,118.12104472196722,-0.21726688644318026,179.7328445431667,197.43908284516667,-17.706238301999974
